"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест выполняет массовую подписку на 20 различных инструментов и проверяет плотность входящего потока данных в WebSocket.","3006","test_load_multiple_subscriptions","cases","Fri Apr 24 23:45:22 UTC 2026","passed","Fri Apr 24 23:45:25 UTC 2026","","test_load_lite","",""
"Проверка контракта gRPC на пустые значения","7","test_grpc_validation_empty_ticker","cases","Fri Apr 24 23:45:35 UTC 2026","passed","Fri Apr 24 23:45:35 UTC 2026","","test_validation","",""
"","2006","test_subscribe_and_receive_updates_v2","cases","Fri Apr 24 23:45:33 UTC 2026","passed","Fri Apr 24 23:45:35 UTC 2026","","test_ticker_flow","",""
"Тест последовательно подписывается на ['BTC/USD', 'ETH/USD', 'XRP/USD'] и валидирует наличие сообщений по каждому инструменту в отфильтрованном потоке.","3009","test_multiple_tickers_logic","cases","Fri Apr 24 23:45:25 UTC 2026","passed","Fri Apr 24 23:45:28 UTC 2026","","test_multiple_subs","",""
"Проверка того, что реальные данные из сокета соответствуют модели","7","test_ws_data_integrity","cases","Fri Apr 24 23:45:35 UTC 2026","passed","Fri Apr 24 23:45:35 UTC 2026","","test_validation","",""
"","0","test_pydantic_schema_validation","cases","Fri Apr 24 23:45:35 UTC 2026","passed","Fri Apr 24 23:45:35 UTC 2026","","test_validation","",""
"Проверка способности системы восстанавливать стриминг данных после обрыва TCP-сессии без потери подписки на стороне сервера.","514","test_websocket_reconnect_resilient","cases","Fri Apr 24 23:45:32 UTC 2026","passed","Fri Apr 24 23:45:33 UTC 2026","","test_reconnect","",""
"Валидация математической модели для BTC/USD. Проверяем отсутствие резких скачков (аномалий) в данных.","4009","test_price_delta_consistency","cases","Fri Apr 24 23:45:28 UTC 2026","passed","Fri Apr 24 23:45:32 UTC 2026","","test_price_logic","",""
"Тест подписывается на SOL/USD 3 раза и проверяет, что количество сообщений в секунду соответствует настройкам сервера (1 msg/sec), а не количеству подписок.","3609","test_no_extra_traffic_on_duplicate","cases","Fri Apr 24 23:45:18 UTC 2026","passed","Fri Apr 24 23:45:22 UTC 2026","","test_duplicate_subs","",""
